away_team_id,away_team_name,away_team_score,home_team_id,home_team_name,home_team_score,match_id,match_period,match_competition,match_round,match_season,match_seasonId,match_skyId,match_status,match_type,match_venue_id,match_venue_location,match_venue_name,_c18,team_name,total_match_score
t19,SheffieldWednesday,0,t57,Watford,1,ba68b1d0-3ed8-316c-a067-ea5220987097,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430171,result,Regular,73,Watford,VicarageRoad,"",SheffieldWednesday,1
t45,NorwichCity,1,t107,PrestonNorthEnd,1,00ca3486-9f9f-3d20-9089-ce2cb191bc79,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430169,result,Regular,105,Preston,Deepdale,"",NorwichCity,2
t110,StokeCity,2,t113,BristolCity,0,62194bcc-7fba-39a4-b054-e7c49831ccbc,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430164,result,Regular,4,Bristol,AshtonGate,"",StokeCity,2
t9,CoventryCity,0,t52,QueensParkRangers,3,291a83b4-db92-3fb2-af23-8dfaf5fdae60,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430170,result,Regular,68,London,KiyanPrinceFoundationStadium,"",CoventryCity,3
t17,NottinghamForest,1,t97,CardiffCity,0,8cc6efd3-2774-302c-9a13-bfa7b5cf4ae8,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430165,result,Regular,5040,Cardiff,CardiffCityStadium,"",NottinghamForest,1
t72,RotherhamUnited,0,t103,Millwall,1,f7e97103-2cff-377f-a234-82bf7140f45a,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430168,result,Regular,101,London,TheDen,"",RotherhamUnited,1
t5,BlackburnRovers,0,t112,WycombeWanderers,1,37b975e6-9a8a-3382-877a-ab011b6f907b,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430172,result,Regular,3,Wycombe,AdamsPark,"",BlackburnRovers,1
t102,LutonTown,0,t24,DerbyCounty,2,a66c8d09-a3ed-35de-aa02-dee5bfc692bf,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430166,result,Regular,45,Derby,PrideParkStadium,"",LutonTown,2
t108,Reading,1,t37,Barnsley,1,3ed5b6b6-318a-3a46-b729-f1590ecb2331,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430161,result,Regular,53,Barnsley,Oakwell,"",Reading,2
t80,SwanseaCity,0,t41,BirminghamCity,1,ae7438c6-5da2-31ca-9d12-721332b21613,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430162,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",SwanseaCity,1
t94,Brentford,1,t38,HuddersfieldTown,1,aea40969-f8f8-3cfd-a837-6f8a90bf8cb8,FullTime,SkyBetChampionship,39,Season2020/2021,2020,430167,result,Regular,54,Huddersfield,JohnSmith'sStadium,"",Brentford,2
t57,Watford,1,t25,Middlesbrough,1,958fe994-ab8d-3276-955e-70de0cb300a2,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430177,result,Regular,46,Middlesbrough,RiversideStadium,"",Watford,2
t91,Bournemouth,2,t5,BlackburnRovers,0,53786820-42c1-38db-879a-f0c93c9306db,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430173,result,Regular,32,Blackburn,EwoodPark,"",Bournemouth,2
t103,Millwall,2,t110,StokeCity,1,2162fbac-3252-3085-8fe4-91277d9e1d14,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430183,result,Regular,1,Stoke,bet365Stadium,"",Millwall,3
t37,Barnsley,2,t102,LutonTown,1,79c89329-b08f-36cb-b337-270953cad8cf,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430176,result,Regular,100,Luton,KenilworthRoad,"",Barnsley,3
t24,DerbyCounty,1,t108,Reading,3,9cc21fcf-0aa9-30d3-9774-3e08f0c054c9,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430180,result,Regular,106,Reading,SelectCarLeasingStadium,"",DerbyCounty,4
t52,QueensParkRangers,1,t17,NottinghamForest,3,2bd78756-6a7f-3317-987a-98c9e2bccbcb,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430179,result,Regular,40,Nottingham,TheCityGround,"",QueensParkRangers,4
t113,BristolCity,1,t9,CoventryCity,3,a54903a3-f0c2-32e1-8cb5-7da748ff610c,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430175,result,Regular,57,Birmingham,St.Andrew'sTrillionTrophyStadium,"",BristolCity,4
t112,WycombeWanderers,3,t72,RotherhamUnited,0,ede0e88c-3f2d-3148-b85a-c285a667869a,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430181,result,Regular,8148,Rotherham,AESSEALNewYorkStadium,"",WycombeWanderers,3
t107,PrestonNorthEnd,1,t80,SwanseaCity,0,3dbb719e-a006-3352-ade0-5237bc4a5319,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430184,result,Regular,2867,Swansea,LibertyStadium,"",PrestonNorthEnd,1
t97,CardiffCity,0,t19,SheffieldWednesday,5,6b1c7fbb-0026-314d-aaac-cc5fbc3ae659,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430182,result,Regular,41,Sheffield,Hillsborough,"",CardiffCity,5
t41,BirminghamCity,0,t94,Brentford,0,2e5e65da-3bbd-39ee-8cd2-e097b168e91a,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430174,result,Regular,14923,Brentford,BrentfordCommunityStadium,"",BirminghamCity,0
t38,HuddersfieldTown,0,t45,NorwichCity,7,18baa451-0ba3-354f-8cf5-d7335a9abaa5,FullTime,SkyBetChampionship,40,Season2020/2021,2020,430178,result,Regular,61,Norwich,CarrowRoad,"",HuddersfieldTown,7
t108,Reading,0,t57,Watford,2,83bcfd09-5093-38ed-82ef-c1b6b3126ea2,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430195,result,Regular,73,Watford,VicarageRoad,"",Reading,2
t80,SwanseaCity,3,t103,Millwall,0,9a3a27a9-c1ab-30b1-aa12-fee0e067c145,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430192,result,Regular,101,London,TheDen,"",SwanseaCity,3
t45,NorwichCity,1,t24,DerbyCounty,0,e35fef0a-915c-3ec9-b77f-f76147123283,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430190,result,Regular,45,Derby,PrideParkStadium,"",NorwichCity,1
t9,CoventryCity,1,t91,Bournemouth,4,64b22d89-f299-30da-8980-88331a7e0474,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430187,result,Regular,2734,Bournemouth,VitalityStadium,"",CoventryCity,5
t19,SheffieldWednesday,1,t52,QueensParkRangers,4,812e5b94-d082-3e9f-be67-160f6c89ce6b,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430194,result,Regular,68,London,KiyanPrinceFoundationStadium,"",SheffieldWednesday,5
t94,Brentford,5,t107,PrestonNorthEnd,0,3aaa4122-a3f5-3b6e-85f4-6c666d193ded,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430193,result,Regular,105,Preston,Deepdale,"",Brentford,5
t17,NottinghamForest,0,t113,BristolCity,0,0d56f149-4f84-3310-a136-5eff46aab576,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430188,result,Regular,4,Bristol,AshtonGate,"",NottinghamForest,0
t25,Middlesbrough,0,t37,Barnsley,2,dba7208f-3ae8-3b97-9c3c-83abca88bb48,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430185,result,Regular,53,Barnsley,Oakwell,"",Middlesbrough,2
t5,BlackburnRovers,2,t97,CardiffCity,2,3d04abd7-2e0a-3386-87ee-cefc642c27bf,FullTime,SkyBetChampionship,41,Season2020/2021,2020,430189,result,Regular,5040,Cardiff,CardiffCityStadium,"",BlackburnRovers,4
